public_food_id_compound_id_name,contribution
FOOD00015 _ FDB003713 _ Silicon,1.57E-05
FOOD00015 _ FDB003717 _ Sulfur,0.004330464
FOOD00015 _ FDB003729 _ Zinc,0.000177155
FOOD00015 _ FDB003763 _ Arsenic,3.94E-07
FOOD00015 _ FDB003766 _ Cadmium,1.44E-06
FOOD00015 _ FDB003777 _ Lead,7.91E-06
FOOD00015 _ FDB003780 _ Mercury,1.06E-07
FOOD00015 _ FDB003839 _ beta-Eudesmol,0.001184972
FOOD00015 _ FDB003844 _ cis-Ligustilide,2.36E-05
"FOOD00015 _ FDB003895 _ 3-N-Butyl-4,5-dihydrophthalide",0.001062932
FOOD00015 _ FDB008322 _ Pantothenic acid,0.000145661
FOOD00015 _ FDB010229 _ Santalol (alpha and beta),0.007968053
FOOD00015 _ FDB011856 _ L-Histidine,0.00997975
FOOD00015 _ FDB011862 _ 3-Butyl-1(3H)-isobenzofuranone,0.007243685
FOOD00015 _ FDB011999 _ L-Threonine,0.016908492
FOOD00015 _ FDB012027 _ Decanoic acid,0.001625892
FOOD00015 _ FDB012083 _ Propanal,2.36E-05
FOOD00015 _ FDB012160 _ Riboflavine,0.000133851
FOOD00015 _ FDB012397 _ L-Isoleucine,0.017676165
FOOD00015 _ FDB012462 _ alpha-Linolenic acid,0.016353406
FOOD00015 _ FDB012474 _ Xanthotoxin,3.94E-06
FOOD00015 _ FDB012535 _ L-Glutamic acid,0.075369752
FOOD00015 _ FDB012563 _ L-Cystine,0.003129744
FOOD00015 _ FDB012567 _ L-Aspartic acid,0.098458997
FOOD00015 _ FDB012605 _ Psoralen,7.09E-07
FOOD00015 _ FDB012613 _ Ligustilide,7.87E-06
FOOD00015 _ FDB012683 _ L-Methionine,0.004606039
FOOD00015 _ FDB012739 _ L-Serine,0.01694786
"FOOD00015 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid",0.004692648
FOOD00015 _ FDB012857 _ Neocnidilide,0.001299139
FOOD00015 _ FDB012858 _ Oleic acid,0.019998869
FOOD00015 _ FDB013444 _ Nickel,3.70E-06
FOOD00015 _ FDB013601 _ beta-Selinene,0.032809168
FOOD00015 _ FDB014416 _ alpha-Terpineol,7.87E-06
FOOD00015 _ FDB014577 _ beta-Elemene,0.003448624
FOOD00015 _ FDB014601 _ p-Menth-1-en-4-ol,0.005515436
FOOD00015 _ FDB014613 _ beta-Carotene,0.000570834
FOOD00015 _ FDB014614 _ Carvone,7.87E-06
FOOD00015 _ FDB014910 _ Perillaldehyde,7.87E-06
FOOD00015 _ FDB014940 _ Linalool,7.87E-06
FOOD00015 _ FDB015360 _ alpha-Humulene,0.010889148
FOOD00015 _ FDB015464 _ beta-Pinene,0.001051122
FOOD00015 _ FDB015736 _ beta-Caryophyllene,0.004606039
FOOD00015 _ FDB016251 _ Iron,0.001377875
FOOD00015 _ FDB017358 _ 1-Isopropyl-4-methylbenzene,0.003798998
"FOOD00015 _ FDB017400 _ 7-Methyl-3-methylene-1,6-octadiene",0.001929025
FOOD00015 _ FDB021453 _ Pectic acid,0.023620711
FOOD00016 _ FDB000446 _ L-Tyrosine,0.016387242
FOOD00016 _ FDB000474 _ L-Lysine,0.013766301
FOOD00016 _ FDB000484 _ Glycine,0.023900698
FOOD00016 _ FDB000514 _ Syringic acid,7.01E-05
FOOD00016 _ FDB000556 _ L-Alanine,0.015492505
FOOD00016 _ FDB000565 _ alpha-Tocopherol,0.000122416
FOOD00016 _ FDB000574 _ Pyridoxine,4.58E-06
FOOD00016 _ FDB000844 _ Gentisic acid,1.93E-05
FOOD00016 _ FDB000846 _ Vanillic acid,5.91E-05
FOOD00016 _ FDB001014 _ Nicotinic acid,6.19E-05
FOOD00016 _ FDB001182 _ Cellulose,0.048141135
FOOD00016 _ FDB001224 _ L-Ascorbic acid,0.003808651
FOOD00016 _ FDB001946 _ L-Leucine,0.025867607
FOOD00016 _ FDB002250 _ L-Tryptophan,0.004030788
FOOD00016 _ FDB002257 _ Arginine,0.046973368
FOOD00016 _ FDB002431 _ gamma-Tocopherol,4.81E-05
FOOD00016 _ FDB002558 _ Caffeic acid,1.51E-05
FOOD00016 _ FDB002593 _ p-Coumaric acid,2.75E-05
FOOD00016 _ FDB002700 _ Isoferulic acid,2.75E-07
FOOD00016 _ FDB003513 _ Calcium,0.01658806
FOOD00016 _ FDB003516 _ Chromium,1.10E-07
FOOD00016 _ FDB003520 _ Phosphorus,0.003186943
FOOD00016 _ FDB003521 _ Potassium,0.018293631
FOOD00016 _ FDB003523 _ Sodium,0.000206319
FOOD00016 _ FDB003570 _ Aluminum,1.93E-05
FOOD00016 _ FDB003575 _ Boron,1.58E-05
FOOD00016 _ FDB003581 _ Cobalt,6.88E-08
FOOD00016 _ FDB003582 _ Copper,1.35E-05
FOOD00016 _ FDB003636 _ Manganese,2.82E-05
FOOD00016 _ FDB003717 _ Sulfur,0.002888468
FOOD00016 _ FDB003729 _ Zinc,4.54E-05
FOOD00016 _ FDB003766 _ Cadmium,4.13E-08
FOOD00016 _ FDB003777 _ Lead,9.63E-08
FOOD00016 _ FDB004038 _ Isochlorogenic acid,4.13E-06
FOOD00016 _ FDB008322 _ Pantothenic acid,3.23E-05
